Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,270,rep1
m2,MARK_PIX,28.4,134.8,T,270,rep3
VD2,LC191KGCT,24.5,5.7,T,0,L-C191KGCT
R26,R0603,20.6,14.1,T,0,1K-5%
VD4,LC191KGCT,18.9,47.7,T,180,L-C191KGCT
R28,R0603,25.5,55.0,T,270,1K-5%
VD5,LC191KGCT,18.96,23.4,T,270,L-C191KGCT
R30,R0603,19.0,25.0,T,180,1K-5%
VD6,LC191KGCT,25.555,23.4,T,270,L-C191KGCT
R31,R0603,25.6,25.0,T,180,1K-5%
VD7,LC191KGCT,23.6,49.6,T,0,L-C191KGCT
R32,R0603,25.5,49.0,T,0,1K-5%
VD8,LC191KGCT,0.3,89.36,T,180,L-C191KGCT
R35,R0603,2.4,86.86,T,90,1K-5%
VD9,LC191KGCT,0.3,86.81,T,180,L-C191KGCT
R36,R0603,18.9,51.6,T,270,1K-5%
VD10,LC191KGCT,18.9,54.1,T,180,L-C191KGCT
R38,R0603,2.4,84.3,T,270,1K-5%
VD11,LC191KGCT,0.3,81.76,T,0,L-C191KGCT
R39,R0603,2.4,62.26,T,90,1K-5%
VD12,LC191KGCT,0.3,84.26,T,0,L-C191KGCT
R27,R0603,24.5,8.1,T,90,4.7K-5%
VD13,LC191KGCT,0.3,62.21,T,180,L-C191KGCT
R29,R0603,18.9,45.2,T,270,4.7K-5%
VD1,LC191KRCT,17.1,14.1,T,270,L-C191KRCT
R33,R0603,26.2,46.6,T,270,4.7K-5%
VD3,LC191KRCT,23.6,54.96,T,0,L-C191KRCT
R34,R0603,2.4,89.4,T,90,4.7K-5%
VT1,SOT-23,23.8,46.8,T,90,IRLML2402
R37,R0603,2.4,81.8,T,270,4.7K-5%
